,Date,Open,High,Low,Close,Adj Close,Volume,newCol,signal
0,1999-12-13,3.6568080000000003,3.660714,3.533482,3.535714,3.085665,132490400,132490400,0.0
1,1999-12-14,3.513393,3.5625,3.383929,3.388393,2.9570950000000003,108967600,241458000,0.0
2,1999-12-15,3.330357,3.473214,3.252232,3.464286,3.023328,155744400,397202400,1.0
3,1999-12-16,3.5,3.513393,3.357143,3.511161,3.064236,115956400,513158800,1.0
4,1999-12-17,3.602679,3.642857,3.517857,3.571429,3.116833,123751600,636910400,0.0
5,1999-12-20,3.555804,3.558036,3.450893,3.5,3.054496,70996800,707907200,0.0
6,1999-12-21,3.506696,3.680804,3.497768,3.660714,3.194754,76899200,784806400,1.0
7,1999-12-22,3.674107,3.734375,3.526786,3.569196,3.1148849999999997,81768400,866574800,0.0
8,1999-12-23,3.636161,3.723214,3.609375,3.696429,3.225921,57383200,923958000,1.0
9,1999-12-27,3.727679,3.729911,3.544643,3.546875,3.095405,42098000,966056000,0.0
10,1999-12-28,3.540179,3.558036,3.392857,3.506696,3.06034,61894000,1027950000,0.0
11,1999-12-29,3.457589,3.649554,3.410714,3.595982,3.138261,71125600,1099075600,1.0
12,1999-12-30,3.649554,3.71875,3.558036,3.582589,3.126573,51786000,1150861600,0.0
13,1999-12-31,3.604911,3.674107,3.553571,3.671875,3.204494,40952800,1191814400,1.0
14,2000-01-03,3.745536,4.017857,3.631696,3.997768,3.4889050000000004,133949200,1325763600,1.0
15,2000-01-04,3.866071,3.950893,3.613839,3.660714,3.194754,128094400,1453858000,0.0
16,2000-01-05,3.705357,3.948661,3.678571,3.714286,3.241507,194580400,1648438400,1.0
17,2000-01-06,3.790179,3.821429,3.392857,3.392857,2.960991,191993200,1840431600,0.0
18,2000-01-07,3.446429,3.607143,3.410714,3.553571,3.101249,115183600,1955615200,1.0
19,2000-01-10,3.642857,3.651786,3.383929,3.491071,3.046704,126266000,2081881200,0.0
20,2000-01-11,3.426339,3.549107,3.232143,3.3125,2.890863,110387200,2192268400,0.0
21,2000-01-12,3.392857,3.410714,3.089286,3.113839,2.717489,244017200,2436285600,0.0
22,2000-01-13,3.3744419999999997,3.526786,3.303571,3.455357,3.015536,258171200,2694456800,1.0
23,2000-01-14,3.571429,3.651786,3.549107,3.587054,3.1304689999999997,97594000,2792050800,1.0
24,2000-01-18,3.607143,3.785714,3.587054,3.712054,3.239558,114794400,2906845200,1.0
25,2000-01-19,3.772321,3.883929,3.691964,3.805804,3.3213760000000003,149410800,3056256000,1.0
26,2000-01-20,4.125,4.339286,4.053571,4.053571,3.537606,457783200,3514039200,0.0
27,2000-01-21,4.080357,4.080357,3.935268,3.975446,3.4694239999999996,123981200,3638020400,0.0
